1000,00:06:41,00:06:47,6,303025923
1001,00:06:41,00:06:48,6,828048850
1002,00:06:42,00:06:49,6,626322258
1003,00:06:42,00:06:50,7,938267949
1000,00:06:47,00:06:50,2,927460376
1001,00:06:48,00:06:50,2,337458886
1002,00:06:49,00:06:51,1,876280015
1003,00:06:50,00:06:51,1,835187043
1000,00:06:50,00:06:51,0,163926609
1000,00:27:57,00:28:12,15,758018200
1001,00:28:03,00:28:16,13,337366643
1003,00:28:09,00:28:17,8,661879721
1000,00:28:13,00:28:18,5,371869480
1001,00:28:16,00:28:19,3,794649859
1003,00:28:17,00:28:19,2,497892409
1000,00:28:18,00:28:20,2,621366779
1001,00:28:19,00:28:21,2,399983796
1002,00:28:05,00:28:24,18,729333545
1000,01:57:18,01:57:39,20,856913298
1001,01:57:19,01:57:40,20,837961589
1000,02:37:55,02:38:15,19,938453209
1001,02:37:57,02:38:31,34,489441042
