1000,14:36:12,14:36:18,5,897861374
1001,14:36:13,14:36:19,6,236743309
1003,14:36:15,14:36:20,5,722128628
1002,14:36:14,14:36:22,8,495629867
1004,14:36:15,14:36:23,7,693922328
1000,15:10:06,15:10:14,7,679836037
1001,15:10:07,15:10:19,12,486016626
1002,15:10:08,15:10:20,11,966722343
1003,15:10:09,15:10:20,11,513708783
1002,11:50:47,11:51:05,18,897796945
1000,01:41:35,01:41:39,4,333991615
1002,16:32:15,16:32:21,5,221880548
1003,16:32:15,16:32:22,6,706623478
1004,16:32:16,16:32:22,6,456210462
1005,16:32:18,16:32:23,4,279046223
1005,16:35:41,16:35:45,3,341863339
1002,16:35:42,16:35:47,4,578972035
1001,16:35:38,16:35:50,12,605943439
1003,16:35:41,16:35:51,10,799965426
1004,16:35:41,16:35:51,10,386405010
1006,16:35:42,16:35:52,10,911535789
1005,16:35:45,16:35:52,6,963803137
1000,16:35:34,16:35:53,19,154958524
1000,16:36:47,16:36:51,4,375327267
1002,16:36:47,16:36:52,4,537058481
1003,16:36:47,16:36:52,4,626796311
1004,16:36:48,16:36:53,4,203713655
